,SSYK 2012 kod,Yrkesbenämning
2480,4322,Förrådsförvaltare
2481,4322,Förrådsman
2482,4322,Förrådsmästare
2483,2164,Förrättningslantmätare
2484,5311,"Församlingsassistent, förskolebarn"
2485,3423,"Församlingsassistent, skolbarn, ungdom, vuxna"
2486,2672,Församlingsdiakon
2487,2672,Församlingsdiakonissa
2488,3412,"Församlingsföreståndare, frikyrkoförsamling"
2489,3412,"Församlingsföreståndare, Frälsningsarmén"
2490,2652,Församlingsmusiker
2491,3423,Församlingspedagog
2492,4119,Församlingssekreterare
2493,3411,Församlingssyster
2494,4430,Församlingsvärd
2495,8121,"Försilvrare, metall"
2496,5311,Förskoleassistent
2497,1421,"Förskolechef, föreståndare förskola, funktions- eller mellanchef"
2498,1421,"Förskolechef, förvaltning, funktions- eller mellanchef"
2499,1422,"Förskolechef, verksamhetsnära chef"
2500,2351,Förskolekonsulent
2501,2241,Förskolepsykolog
2502,2343,Förskolepedagog
2503,1422,"Förskolerektor, verksamhetsnära chef"
2504,2343,Förskollärare
2505,8181,Förslutare
2506,2351,Förstadielärare
2507,2112,Försvarsmeteorolog
2508,2121,Försäkringsaktuarie
2509,4119,Försäkringsassistent
2510,3353,"Försäkringsbedömare, försäkringskassa"
2511,3321,"Försäkringsbedömare, övrig"
2512,1591,"Försäkringschef, försäkringskassa, funktions- eller mellanchef"
2513,1592,"Försäkringschef, försäkringskassa, verksamhetsnära chef"
2514,2612,Försäkringsdomare
2515,3321,Försäkringsförmedlare
2516,3353,"Försäkringshandläggare, försäkringskassa"
2517,3321,"Försäkringshandläggare, övrig"
2518,2614,Försäkringsjurist
2519,1592,Försäkringskassechef
2520,3353,Försäkringskassehandläggare
2521,3353,Försäkringskassetjänsteman
2522,3321,Försäkringskonsulent
2523,3353,"Försäkringskonsult, försäkringskassa"
2524,2211,Försäkringsläkare
2525,2121,Försäkringsmatematiker
2526,4114,Försäkringsmäklarassistent
2527,3321,Försäkringsmäklare
2528,3321,Försäkringsombud
2529,3353,"Försäkringsrådgivare, försäkringskassa"
2530,3321,"Försäkringsrådgivare, övrig"
2531,3353,"Försäkringssekreterare, försäkringskassa"
2532,3321,Försäkringsspecialist
2533,3321,Försäkringssäljare
2534,3321,"Försäkringstjänsteman, försäkringsbolag"
2535,3353,"Försäkringstjänsteman, försäkringskassa"
2536,3314,"Försäkringstjänsteman, skadereglerare"
2537,3314,"Försäkringsutredare, försäkringsbolag"
2538,3353,"Försäkringsutredare, försäkringskassa"
2539,3322,Försäljare inom teknik och medicin
2540,5223,"Försäljare, bil"
2541,5230,"Försäljare, biljett-"
2542,5223,"Försäljare, butiksbiträde, byggnadsvaror m.m."
2543,5223,"Försäljare, båt"
2544,5223,"Försäljare, fackhandel"
2545,3321,"Försäljare, försäkringar"
2546,5222,"Försäljare, Hemglass"
2547,3322,"Försäljare, innesäljare, byggnadsvaror m.m."
2548,5230,"Försäljare, kiosk"
2549,5223,"Försäljare, kläder"
2550,5223,"Försäljare, maskiner, byggnadsvaror"
2551,5223,"Försäljare, möbler, husgeråd"
2552,5223,"Försäljare, ospec detaljhandel"
