,SSYK 2012 kod,Yrkesbenämning
4378,5226,Leasingadministratör
4379,5221,Leasingchef
4380,3449,Ledarskapsutbildare
4381,7420,"Ledningsmontör, tele"
4382,5343,Ledsagare
4383,5311,Lekbiträde
4384,5311,Lekledare
4385,4430,Lekmannadomare
4386,2343,Lekotekarie
4387,5311,Lekplatsföreståndare
4388,2343,Lekterapeut
4389,2330,"Lektor, gymnasieskola"
4390,2312,"Lektor, högskola/universitet"
4391,2641,Lektör
4392,8111,Lertagsarbetare
4393,4322,Leveransbevakare
4394,1322,"Leveranschef, verksamhetsnära chef"
4395,1321,"Leveranschef, funktions- eller mellanchef"
4396,4322,Leveranskontorist
4397,8329,Leveransmontör
4398,4322,Leveransplanerare
4399,2643,Lexikograf
4400,9629,"Licenskontrollant, TV"
4401,7212,Licenssvetsare
4402,8343,Liftbiträde
4403,7215,Liftbyggare
4404,8332,Liftdumper- och lastväxlarförare
4405,8343,Liftmaskinist
4406,7215,Liftmontör
4407,7215,Liftreparatör
4408,8343,Liftskötare
4409,7215,Lifttekniker
4410,8343,Liftvärd
4411,9622,Likbärare
4412,8173,"Limberedare, träfiberindustri"
4413,8173,"Limmare, fiberskivtillverkning"
4414,7523,"Limmare, snickeri"
4415,2183,Limnolog
4416,8321,Limousinförare
4417,8343,Linbaneskötare
4418,3439,Lindansare
4419,7412,"Lindare, reparation"
4420,2643,Lingvist
4421,8159,Linhäcklare
4422,3331,Linjeagent
4423,3113,Linjeingenjör
4424,7413,"Linjemontör, elkraft"
4425,7420,"Linjemontör, tele"
4426,7413,"Linjemästare, elkraft"
4427,7420,"Linjemästare, tele"
4428,7413,"Linjereparatör, elkraft"
4429,7532,Linnesömmerska
4430,8129,Linslagare
4431,8189,Linsslipare
4432,7522,Listarbetare
4433,7521,Listförgyllare
4434,7522,Listmakare
4435,7321,Litograf
4436,2622,Litteraturingenjör
4437,3339,Litterär agent
4438,2121,Livförsäkringsaktuarie
4439,8163,"Livsmedelsarbetare, bageri"
4440,8161,"Livsmedelsarbetare, kött o. fiskberedning"
4441,8162,"Livsmedelsarbetare, mejeriprodukter"
4442,5222,Livsmedelsbiträde
4443,3115,Livsmedelsingenjör
4444,2182,Livsmedelsinspektör
4445,2182,Livsmedelskonsulent
4446,2182,Livsmedelskontrollant
4447,3115,Livsmedelstekniker
4448,3360,"Livvakt, polis"
4449,5413,"Livvakt, övrig"
4450,3522,Ljudassistent
4451,3522,Ljudbandstekniker
4452,3522,Ljudbiträde
4453,3522,Ljuddesigner
4454,3522,Ljudingenjör
4455,3522,Ljudläggare
4456,3433,Ljudradioinspicient
4457,3522,Ljudtekniker
4458,3522,Ljusdesigner
4459,8132,Ljusformare
4460,8132,Ljuskopist
4461,8132,Ljusstöpare
4462,3522,Ljussättare
4463,3522,Ljustekniker
4464,3230,Ljusterapeut
4465,7322,Ljustryckare
4466,2422,"Lobbyist, organisation"
4467,3433,Loggare
4468,4322,Logistikassistent
4469,4322,Logistikbiträde
4470,1322,"Logistikchef, verksamhetsnära chef"
4471,1321,"Logistikchef, funktions- eller mellanchef"
4472,2141,Logistiker
4473,3323,"Logistiker, inköpare"
4474,4322,"Logistiker, lagerplanering"
4475,4323,"Logistiker, transportplanering"
4476,2141,Logistikingenjör
4477,2141,Logistikkonsult
4478,0110,Logistikofficer
4479,3322,Logistiksäljare
4480,2141,Logistikutvecklare
4481,2283,Logoped
4482,5349,Logopedassistent
4483,5113,Lokalguide
4484,5152,Lokalkoordinator
4485,9111,Lokalstädare
4486,9111,Lokalvårdare
4487,5151,Lokalvårdsinspektör
4488,5151,Lokalvårdsledare
4489,8311,Lokbiträde
4490,8311,Lokförare
4491,4323,Lokledare
4492,7233,Lokreparatör
4493,8332,"Lots, bil-"
4494,3152,"Lots, fartyg"
4495,5343,"Lots, för invandrare"
4496,1341,"Lotsdirektör, funktions- eller mellanchef"
4497,1342,"Lotsdirektör, verksamhetsnära chef"
4498,3152,Lotsförman
4499,2411,Lotskamrer
4500,3152,Lotskapten
4501,3152,Lotsplatschef
4502,5230,Lottförsäljare
4503,2663,LSS-handläggare 
4504,3354,Luftfartsingenjör
4505,3354,Luftfartsinspektör
4506,8159,Lumprivare
4507,8159,Lumpsorterare
4508,9412,Lunchrumsbiträde
4509,2211,Lungläkare
4510,8343,Lyftkranförare
4511,3230,Lymfterapeut
4512,9320,Lådspikare
4513,2341,Lågstadielärare
4514,1611,"Lånechef, bank, funktions- eller mellanchef"
4515,1612,"Lånechef, bank, verksamhetsnära chef"
4516,2622,"Lånechef, bibliotek"
4517,3312,Lånehandläggare
4518,3312,Lånekamrer
4519,7223,Långsvarvare
4520,8332,Långtradarchaufför
4521,7311,Låsmontör
4522,7311,Låssmed
4523,7311,Låssmedsmästare
4524,7311,Låstekniker
4525,8159,Läderfärgare
4526,8159,Lädersömmare
4527,8159,Lädervaruarbetare
4528,4119,Lägenhetsförmedlare
4529,3334,Lägenhetssäljare
4530,4119,Lägenhetsuthyrare
4531,3423,Lägerledare
4532,2211,"Läkare, allmänmedicinare"
4533,2211,"Läkare, allmänspecialist"
4534,4117,Läkarsekreterare
4535,3230,Läkeeurytmist
4536,2281,"Läkemedelsansvarig, apotekare"
4537,1731,"Läkemedelsansvarig, apotekschef, funktions- eller mellanchef"
4538,1732,"Läkemedelsansvarig, apotekschef, verksamhetsnära chef"
4539,8131,Läkemedelsarbetare
4540,2133,Läkemedelsforskare
4541,2133,Läkemedelsinspektör
4542,3322,Läkemedelskonsulent
4543,2351,Läkepedagog
4544,3521,Länktekniker
4545,2621,Länsantikvarie
4546,1341,"Länsarkitekt, funktions- eller mellanchef"
4547,1342,"Länsarkitekt, verksamhetsnära chef"
4548,2615,Länsassessor
4549,1591,"Länsbibliotekarie, funktions- eller mellanchef"
4550,1592,"Länsbibliotekarie, verksamhetsnära chef"
4551,2422,Länsbildningskonsulent
4552,1230,Länsbostadsdirektör
4553,3449,Länshemslöjdskonsulent
4554,2422,Länshälsovårdskonsulent
4555,2135,Länsjaktvårdare
4556,2135,Länsjaktvårdskonsulent
4557,2615,Länsjurist
4558,1230,Länsjägmästare
4559,2164,Länslantmätare
4560,2211,Länsläkare
4561,1591,"Länsmuseichef, funktions- eller mellanchef"
4562,1592,"Länsmuseichef, verksamhetsnära chef"
4563,2615,Länsnotarie
4564,1112,Länspolischef
4565,2411,Länsrevisor
4566,1112,Länsråd
4567,2612,Länsrättsassessor
4568,2612,Länsrättsfiskal
4569,2612,Länsrättsnotarie
4570,1112,Länsskattechef
4571,2250,Länsveterinär
4572,2613,Länsåklagare
4573,1112,Länsöverdirektör
4574,7224,Läppare
4575,5312,Lärarassistent
4576,2359,Lärare i musik- och kulturskolan
4577,2341,"Lärare, 1-3"
4578,2341,"Lärare, 1-7"
4579,2341,"Lärare, 4-9"
4580,2320,"Lärare, automation"
4581,2320,"Lärare, bageri och konditori"
4582,2320,"Lärare, barn- o. fritidsprogrammet"
4583,2330,"Lärare, barn- o. ungdomskunskap"
4584,2320,"Lärare, beklädnadsyrken"
4585,2341,"Lärare, bildämnen, grundskola"
4586,2330,"Lärare, bildämnen, gymnasieskola"
4587,2320,"Lärare, bygg och anläggning"
4588,2341,"Lärare, dans, teater, drama, grundskola"
4589,2330,"Lärare, dans, teater, drama, gymnasieskola"
4590,3449,"Lärare, dans, teater, drama (studiecirkel, kurs)"
4591,2341,"Lärare, datakunskap (grundskola)"
4592,2330,"Lärare, datakunskap (gymnasieskola)"
4593,3449,"Lärare, datakunskap (studiecirkel, kurs)"
4594,2320,"Lärare, drift- och energiteknik"
4595,2320,"Lärare, DU, fartygsteknik"
4596,2330,"Lärare, ekonomiska ämnen"
4597,2320,"Lärare, elektronik"
4598,2320,"Lärare, elprogrammet"
4599,2320,"Lärare, el-teleteknik"
4600,2320,"Lärare, energiprogrammet"
4601,2341,"Lärare, estetiska och praktiska ämnen, grundskola"
4602,2330,"Lärare, estetiska och praktiska ämnen, gymnasieskola"
4603,2320,"Lärare, fiskeriyrken"
4604,2320,"Lärare, flygteknik"
4605,2330,"Lärare, folkhögskola"
4606,2320,"Lärare, fordonsprogrammet"
4607,2320,"Lärare, fordonsteknik"
4608,2320,"Lärare, frisör och skönhetsvård"
4609,2343,"Lärare, förskola"
4610,2341,"Lärare, grundskola"
4611,2330,"Lärare, gymnasieskola, allm. ämne"
4612,2320,"Lärare, handel och administration"
4613,2320,"Lärare, hantverksprogrammet"
4614,2341,"Lärare, hemkunskap, grundskola"
4615,2330,"Lärare, hemkunskap, gymnasieskola"
4616,2330,"Lärare, historia, filosofi"
4617,2320,"Lärare, hotell och restaurang"
4618,2341,"Lärare, idrott, gymnastik, hälsa, grundskola"
4619,2330,"Lärare, idrott, gymnastik, hälsa, gymnasieskola"
4620,2320,"Lärare, industriprogrammet"
4621,2320,"Lärare, installation"
4622,2320,"Lärare, kött och charkuteri"
4623,2320,"Lärare, lantbruk, skogsbruk, trädgård"
4624,2320,"Lärare, livsmedelsprogrammet"
4625,2330,"Lärare, ljud och musik"
4626,2330,"Lärare, matematik-naturvetenskapliga ämnen, gymnasieskola"
4627,2320,"Lärare, media, grafisk produktion"
4628,2320,"Lärare, miljövård"
4629,2341,"Lärare, musik, grundskola"
4630,2330,"Lärare, musik, gymnasieskola"
4631,3449,"Lärare, musik (studiecirkel, kurs)"
4632,2320,"Lärare, måleriteknik"
4633,2320,"Lärare, naturbruk"
4634,2320,"Lärare, omvårdnad, social omsorg"
4635,2320,"Lärare, omvårdnad, tandvård"
4636,2320,"Lärare, processteknik"
4637,2330,"Lärare, religionskunskap"
4638,2330,"Lärare, samhälls- och beteendevetenskap"
4639,2359,"Lärare, SFI "
4640,2320,"Lärare, sjömansyrken"
4641,2351,"Lärare, special-"
4642,2341,"Lärare, språk (grundskola)"
4643,2330,"Lärare, språk (gymnasieskola)"
4644,3449,"Lärare, språk (studiecirkel, kurs)"
4645,2320,"Lärare, storhushåll"
4646,2351,"Lärare, särskola"
4647,2320,"Lärare, textil-beklädnadsteknik"
4648,2341,"Lärare, textilkunskap, grundskola"
4649,2330,"Lärare, textilkunskap, gymnasieskola"
4650,3441,"Lärare, trafikyrken"
4651,2320,"Lärare, transport"
4652,2341,"Lärare, trä- och metallslöjd, grundskola"
4653,2330,"Lärare, trä- och metallslöjd, gymnasieskola"
4654,2320,"Lärare, träteknik"
4655,2320,"Lärare, verkstads- och industriteknik"
4656,2320,"Lärare, VVS-teknik"
4657,2320,"Lärare, vårdyrken"
4658,2320,"Lärare, yrkesämne"
4659,xxxx,Lärling (SSYK klassificeras enligt aktuella arbetsuppgifter)
4660,4410,Läromedelsassistent
4661,2641,Läromedelsförfattare
4662,2351,Läromedelsintendent
4663,8169,Läskedrycksberedare
4664,8114,Lättbetongarbetare
4665,8350,Lättmatros
4666,8212,"Lödare, kretskort"
4667,7212,"Lödare, metall"
4668,0110,"Löjtnant, försvaret"
4669,4112,Löneadministratör
4670,4112,Löneassistent
4671,4112,Löneförrättare
4672,4112,Lönehandläggare
4673,2423,Löneingenjör
4674,4112,Lönekontorist
4675,2511,"Lösningsarkitekt, IT"
4676,5225,Mackbiträde
4677,4322,Magasinsarbetare
4678,4321,Magasinschef
4679,4321,Magasinsföreståndare
4680,2653,Magdansös
4681,7212,MAG-svetsare
4682,0110,"Major, försvaret"
4683,5149,Makeupartist
4684,2415,Makroanalytiker
4685,8112,Malmanrikare
4686,8112,Malmanrikningsarbetare
4687,8111,Malmarbetare
4688,8112,Malmförädlingsarbetare
4689,8112,Malmkrosskötare
4690,8111,"Malmlastare, gruva"
4691,3116,Malmletare
4692,8112,Malmskrädare
4693,8181,Malmvägare
4694,2421,Managementkonsult
4695,3339,"Manager, rådgivare"
4696,8151,Manglare
4697,5149,Manikyrist
4698,5241,Mannekäng
4699,7223,Mantelsvetsare
4700,2641,Manusförfattare
4701,2654,Manusproducent
4702,8169,Margarinberedare
4703,2623,Marinarkeolog
4704,2132,Marinbiolog
4705,0110,Marinchef
4706,2144,Mariningenjör
4707,7231,Marinmekaniker
4708,2112,Marinmeteorolog
4709,0110,Marinofficer
4710,7114,Markanläggningsarbetare
4711,4119,"Markassistent, kommun"
4712,8341,"Markberedningsförare, skogsbruk"
4713,9412,Marketenteribiträde
4714,2431,Marketingman
4715,2164,Markförhandlare
4716,3112,Markingenjör
4717,7119,"Markismontör, montering, reparation"
4718,8219,"Markismontör, tillverkning"
4719,1251,"Marknads- o. försäljningschef, funktions- eller mellanchef"
4720,2431,Marknadsanalytiker
4721,3322,Marknadsansvarig
4722,4114,Marknadsassistent
4723,1252,"Marknadschef, verksamhetsnära chef"
4724,1251,"Marknadschef, funktions- eller mellanchef"
4725,1251,"Marknadsdirektör, funktions- eller mellanchef"
4726,1252,"Marknadsdirektör, verksamhetsnära chef"
4727,2431,"Marknadsförare, analytiker"
4728,3322,"Marknadsförare, säljare"
4729,2431,Marknadsföringskonsult
4730,9520,"Marknadsförsäljare, ej tillagad mat"
4731,9520,"Marknadsförsäljare, tillagad mat"
4732,2431,Marknadsingenjör
4733,2431,Marknadskommunikatör
4734,2431,Marknadskonsult
4735,2431,Marknadskoordinator
4736,2431,Marknadsplanerare
4737,1251,"Marknadsplaneringschef, funktions- eller mellanchef"
4738,1252,"Marknadsplaneringschef, verksamhetsnära chef"
4739,2431,Marknadsstrateg
4740,2431,Marknadsstrategiker
4741,2431,"Marknadsundersökare, analytiker"
4742,4226,"Marknadsundersökare, intervjuare"
4743,3322,"Marknadsundersökare, säljare"
4744,2431,Marknadsutvecklare
4745,2163,Markprojektör
4746,4221,Markvärdinna
4747,7619,"Marmeladtillverkare, gårdstillverkning"
4748,8163,Marsipanberedare
4749,2239,MAS (Medicinskt ansvarig sjuksköterska)
4750,8341,"Maskinbarkare, skogsbruk"
4751,8173,"Maskinbarkare, sågverk"
4752,3151,"Maskinbefäl, fartyg"
4753,3151,Maskinbefälsassistent
4754,7323,Maskinbokbindare
4755,8111,Maskinborrare
4756,7212,Maskinbrännare
4757,7233,Maskinbyggare
4758,3151,"Maskinchef, fartyg"
4759,7412,Maskinelektriker
4760,7233,"Maskinelev, sjöfart"
4761,8129,"Maskinformare, gjuteri"
4762,7319,"Maskinformare, keramik"
4763,8342,"Maskinförare, anläggning"
4764,8341,"Maskinförare, lantbruk"
4765,8342,"Maskinförare, renhållning"
4766,8169,"Maskinförare, rosteri"
4767,8341,"Maskinförare, skogsbruk"
4768,8173,"Maskinförare, träfiberskivor"
4769,8342,"Maskinförare, täckdikning"
4770,7319,"Maskingravör, metall"
4771,7321,"Maskingravör, tryckmedier"
4772,7224,"Maskinhyvlare, metall"
4773,2144,"Maskiningenjör, civilingenjör"
4774,3114,"Maskiningenjör, högskoleingenjör"
4775,3521,"Maskinist, biograf"
4776,8343,"Maskinist, bro, sluss"
4777,8132,"Maskinist, destruktion"
4778,8191,"Maskinist, drift-; kraftverk, vattenverk, värmeverk"
4779,3151,"Maskinist, fartyg"
4780,5152,"Maskinist, fastighet"
4781,3155,"Maskinist, flyg-"
4782,8342,"Maskinist, gräv-"
4783,8112,"Maskinist, krossverk"
4784,8191,"Maskinist, kyl- och frysanläggning"
4785,8343,"Maskinist, lift-"
4786,8191,"Maskinist, ång-"
4787,2144,"Maskinkonstruktör, civilingenjör"
4788,3114,"Maskinkonstruktör, högskoleingenjör"
4789,2134,"Maskinkonsulent, inom lantbruk"
4790,8129,Maskinkärnmakare
4791,8212,"Maskinlindare, reparation"
4792,7212,Maskinlödare
4793,7231,"Maskinmekaniker, bilverkstad"
4794,7233,"Maskinmekaniker, övrig"
4795,7233,"Maskinmontör, installation, reparation"
4796,8211,"Maskinmontör, tillverkning"
4797,xxxx,Maskinoperatör (se även Maskinskötare och Processoperatör)
4798,8163,"Maskinoperatör, bageri"
4799,8174,"Maskinoperatör, betsare"
4800,8151,"Maskinoperatör, blekning, färgning o. tvättning"
4801,7323,"Maskinoperatör, bokbinderi"
4802,8169,"Maskinoperatör, bryggeri"
4803,8132,"Maskinoperatör, CD-tillverkning"
4804,8212,"Maskinoperatör, datachip"
4805,8189,"Maskinoperatör, fiberväv"
4806,8163,"Maskinoperatör, foder"
4807,8132,"Maskinoperatör, fonogramtillverkning"
4808,8132,"Maskinoperatör, fotografiska produkter"
4809,8169,"Maskinoperatör, frukt- o. grönsaksberedning"
4810,8159,"Maskinoperatör, garnberedning"
4811,8114,"Maskinoperatör, gipsplattor"
4812,8189,"Maskinoperatör, glasfiber"
4813,8189,"Maskinoperatör, glasull"
4814,7323,"Maskinoperatör, grafisk industri, bokbinderi"
4815,8143,"Maskinoperatör, grafisk industri, pappersvaror"
4816,7322,"Maskinoperatör, grafisk industri, tryckeri"
4817,8141,"Maskinoperatör, gummiindustri"
4818,7323,"Maskinoperatör, hårdband"
4819,8169,"Maskinoperatör, konservindustri"
4820,8192,"Maskinoperatör, konstgödsel"
4821,8163,"Maskinoperatör, kvarnindustri"
4822,8161,"Maskinoperatör, kött- och fiskberedning"
4823,8163,"Maskinoperatör, livsmedelsindustri, bageri och konfektyr"
4824,8169,"Maskinoperatör, livsmedelsindustri, bryggeri"
4825,8169,"Maskinoperatör, livsmedelsindustri, frukt och grönsaker"
4826,8163,"Maskinoperatör, livsmedelsindustri, kvarn"
4827,8161,"Maskinoperatör, livsmedelsindustri, kött och fisk"
4828,8162,"Maskinoperatör, livsmedelsindustri, mejeri"
4829,8169,"Maskinoperatör, livsmedelsindustri, socker"
4830,8169,"Maskinoperatör, livsmedelsindustri, te, kaffe, kakao"
4831,8131,"Maskinoperatör, läkemedelsindustri"
4832,8162,"Maskinoperatör, mejeri"
4833,7223,"Maskinoperatör, mekanisk verkstad"
4834,8121,"Maskinoperatör, metallytebehandling"
4835,8189,"Maskinoperatör, mineralull"
4836,7323,"Maskinoperatör, mjukband"
4837,8143,"Maskinoperatör, pappersvaruindustri"
4838,8163,"Maskinoperatör, pastatillverkning"
4839,8173,"Maskinoperatör, pellets"
4840,8142,"Maskinoperatör, plastindustri"
4841,8174,"Maskinoperatör, polerare"
4842,8181,"Maskinoperatör, postsortering"
4843,8189,"Maskinoperatör, sanitetsgods"
4844,8159,"Maskinoperatör, skoindustri"
4845,7523,"Maskinoperatör, snickeri"
4846,8169,"Maskinoperatör, sockerindustri"
4847,8132,"Maskinoperatör, sprängämnen"
4848,8114,"Maskinoperatör, sten-, cement- o. betongvaror"
4849,8114,"Maskinoperatör, stenkulor"
4850,8169,"Maskinoperatör, te-, kaffe- o. kakaoberedning"
4851,8151,"Maskinoperatör, textilindustri, blekning, färgning, tvättning"
4852,8159,"Maskinoperatör, textilindustri, garnberedning"
4853,8159,"Maskinoperatör, textilindustri, skor, väskor m.m."
4854,8159,"Maskinoperatör, textilindustri, sömnad"
4855,8159,"Maskinoperatör, textilindustri, vävning och stickning"
4856,8159,"Maskinoperatör, textilindustri, övrigt"
4857,8169,"Maskinoperatör, tobaksindustri"
4858,7322,"Maskinoperatör, tryckeri"
4859,7523,"Maskinoperatör, trävaruindustri"
4860,8174,"Maskinoperatör, träytebehandling"
4861,8151,"Maskinoperatör, tvätteri"
4862,8159,"Maskinoperatör, vävning och stickning"
4863,8181,Maskinpaketerare
4864,7523,"Maskinpassare, träindustri"
4865,7224,Maskinpolerare
4866,7233,"Maskinreparatör, industrimaskiner o. mekanisk utrustning"
4867,7231,"Maskinreparatör, lantbruks- o. anläggningsmaskiner"
4868,8129,Maskinriktare
4869,4119,Maskinskrivare
4870,8159,"Maskinskärare, textil"
4871,xxxx,Maskinskötare (se även Maskinoperatör)
4872,8163,"Maskinskötare, bageri"
4873,8163,"Maskinskötare, brödfabrik"
4874,8189,"Maskinskötare, glas"
4875,8162,"Maskinskötare, glasstillverkning"
4876,7132,"Maskinskötare, lackering"
4877,8169,"Maskinskötare, margarintillverkning"
4878,8162,"Maskinskötare, mejeri"
4879,8169,"Maskinskötare, rosteri"
4880,8189,"Maskinskötare, tegelbruk"
4881,8169,"Maskinskötare, tobaksindustri"
4882,7224,"Maskinslipare, metall"
4883,7523,Maskinsnickare
4884,8159,Maskinstickare
4885,8189,"Maskinställare, glastillverkning"
4886,8159,"Maskinställare, textil"
4887,7223,"Maskinställare, verktygsmaskiner"
4888,7223,Maskinsvetsare
4889,7321,Maskinsättare
4890,3151,"Maskintekniker, fartyg"
4891,7231,"Maskintekniker, reparation o. service av fordon"
4892,7233,"Maskintekniker, reparation o. service av maskiner"
4893,8191,"Maskintekniker, vattenverk"
4894,8151,Maskintvättare
4895,7233,Maskinuppsättare
4896,5226,Maskinuthyrare
4897,8122,Maskinvalsare
4898,8159,Maskinvirkare
4899,8159,Maskinvävare
4900,5149,Maskör
4901,8189,"Massaberedare, keramik, tegel"
4902,8171,Massablekare
4903,5143,Massageterapeut
4904,8171,Massakokare
4905,8171,Massamaskinförare
4906,8171,Massaskötare
4907,5143,"Massör, ospec"
4908,5143,"Massör, personer"
4909,7420,Masttekniker
4910,8193,Masugnsarbetare
4911,2121,Matematiker
4912,2122,Matematisk statistiker
4913,4322,Materialansvarig
4914,4322,Materialarbetare
4915,3119,Materialberedare
4916,4322,Materialfördelare
4917,5169,Materialförvaltare
4918,4322,"Materialförvaltare, förråd"
4919,9332,Materialhanterare
4920,2146,"Materialingenjör, metallurgi"
4921,2113,Materialkemist
4922,4322,"Materialman, lager"
4923,8122,"Materialman, valsverk"
4924,4322,Materialmästare
4925,4322,"Materialplanerare, assistent"
4926,2141,"Materialplanerare, civilingenjör"
4927,3119,"Materialplanerare, högskoleingenjör"
4928,3215,"Materialprovare, fysik"
4929,4322,Materialsamordnare
4930,2141,Materialstyrare
4931,2144,"Materialstyrningsingenjör, maskin"
4932,5241,Matinspiratör
4933,8350,Matros
4934,9412,Matsalsbiträde
4935,9412,Matsalsvärd
4936,7122,Mattläggare
4937,8151,Mattvättare
4938,3421,"Mc-förare, tävling"
4939,1241,"Mediachef, funktions- eller mellanchef"
4940,1242,"Mediachef, verksamhetsnära chef"
4941,2432,Mediakonsulent
4942,2432,Mediakonsult
4943,2432,Mediaplanerare
4944,3322,Mediasäljare
4945,1230,Medicinalråd
4946,3211,Mediciningenjör
4947,4117,Medicinsk sekreterare
4948,2239,Medicinskt ansvarig sjuksköterska
4949,2235,Medicinsk-teknisk assistent
4950,3211,Medicintekniker
4951,3211,Medicinteknisk ingenjör
4952,2432,Medieanalytiker
4953,3449,Mediepedagog
4954,3422,Meditationsledare
4955,5242,"Medlemsvärvare, callcenter"
4956,5241,"Medlemsvärvare, face to face"
4957,5349,Medlevare
4958,8162,Mejeriarbetare
4959,3115,Mejeriingenjör
4960,3115,Mejerist
4961,3115,Mejeritekniker
4962,9120,"Mekanikerbiträde, bilverkstad"
4963,2144,Mekatronikingenjör
4964,2341,Mellanstadielärare
4965,2272,Mensendieckpedagog
4966,2272,Mensendiecksjukgymnast
4967,5341,Mentalskötare
4968,5241,Merchandiser
4969,8132,Mesabrännare
4970,7223,Metallduksvävare
4971,7223,Metallfräsare
4972,7212,Metallimmare
4973,8121,Metalliserare
4974,7215,Metallkonstruktionsmontör
4975,8193,Metallkrossare
4976,2146,Metallograf
4977,7223,Metallpressare
4978,8193,Metallraffinerare
4979,8121,Metallsprutare
4980,7223,Metallsågare
4981,7223,Metalltryckare
4982,2146,Metallurg
4983,2112,Meteorolog
4984,3512,"Meteorologassistent, försvaret"
4985,3215,"Meteorologassistent, SMHI"
4986,2511,"Metodanalytiker, data"
4987,3114,"Metodingenjör, maskin"
4988,3412,Metodistpastor
4989,2122,Metodstatistiker
4990,7212,MIG-svetsare
4991,2131,Mikrobiolog
4992,8132,Mikrofilmare
4993,8132,Mikrokopist
4994,7311,Mikromekaniker
4995,3215,Mikroskopist
4996,0310,Militär
4997,2671,Militärpräst
4998,2182,Miljö- och hälsoskyddshandläggare
4999,2182,Miljö- och hälsoskyddsinspektör
5000,9610,"Miljöarbetare, avfallshantering"
5001,9610,"Miljöarbetare, avfallshantering, station"
5002,9610,"Miljöassistent, avfallshantering"
5003,9610,"Miljöassistent, avfallshantering, station"
5004,1291,"Miljöchef, funktions- eller mellanchef"
5005,1292,"Miljöchef, verksamhetsnära chef"
5006,2183,Miljöcontroller
5007,2415,Miljöekonom
5008,2422,"Miljöhandläggare (natur), offentlig förvaltning"
5009,2183,"Miljöhandläggare (natur), övrig"
5010,2182,"Miljöhandläggare, hälsa"
5011,2183,"Miljöhandläggare, miljöledning o. -styrning (ISO, EMAS)"
5012,2183,Miljöingenjör
5013,2183,Miljöinspektör
5014,2619,Miljöjurist
5015,2113,Miljökemist
5016,2183,Miljökonsult
5017,2183,Miljörevisor
5018,2619,Miljöråd
5019,3335,"Miljösamordnare, bostadsföretag"
5020,2183,"Miljösamordnare, miljöledning o. -styrning (ISO, EMAS)"
5021,2183,"Miljösamordnare, offentlig förvaltning"
5022,2182,Miljöskyddschef
5023,2182,Miljöskyddshandläggare
5024,2182,Miljöskyddsinspektör
5025,2122,Miljöstatistiker
5026,8191,"Miljötekniker, avfallshantering"
5027,1230,Miljövårdsdirektör
5028,2183,Miljövårdsingenjör
5029,6113,Miljövärd
5030,2655,Mimartist
5031,2359,Mimpedagog
5032,8189,"Mineralullsarbetare, tillverkning"
5033,8329,Minibusschaufför
5034,3423,Miniorledare
5035,1230,"Minister, diplomat"
5036,1111,"Minister, statsråd"
5037,6129,Minkfarmare
5038,6129,Minkskötare
5039,6129,Minkuppfödare
5040,3412,Missionär
5041,3522,"Mixare, ljudtekniker"
5042,3522,Mixertekniker
5043,7212,Mjuklödare
5044,2512,Mjukvarudesigner
5045,2512,Mjukvaruingenjör
5046,2512,Mjukvarukonstruktör
5047,2514,Mjukvarutestare
5048,2512,Mjukvaruutvecklare
5049,7613,Mjölkbedömare
5050,6121,Mjölkbonde
5051,3115,Mjölkmästare
5052,6121,Mjölkproducent
5053,8163,Mjölnare
5054,8343,Mobilkranförare
5055,7420,Mobilreparatör
5056,2179,Modedesigner
5057,2179,Modeformgivare
5058,3431,Modefotograf
5059,5241,Modell
5060,7522,Modellbyggare
5061,7319,"Modellgjutare, keramik"
5062,2179,"Modellkonstruktör, textil"
5063,7222,"Modellmakare, metall"
5064,7522,"Modellmakare, trä"
5065,7522,Modellsnickare
5066,8159,Modellsömmerska
5067,7222,"Modelltekniker, metall"
5068,2171,"Modellör, industri"
5069,7319,"Modellör, keramik"
5070,2179,"Modellör, skor"
5071,2341,"Modersmålslärare, grundskola"
5072,2330,"Modersmålslärare, gymnasieskola"
5073,5311,Modersmålstränare
5074,2179,Modeskapare
5075,2179,Modetecknare
5076,7531,Modist
5077,2131,Molekylärbiolog
5078,7321,Molettgravör
5079,8159,Momentsömmerska
5080,3522,Monitortekniker
5081,3112,"Montageingenjör, bygg"
5082,3113,"Montageingenjör, elkraft"
5083,3114,"Montageingenjör, maskin"
5084,7123,Montageisolerare
5085,3112,"Montageledare, bygg"
5086,7125,"Montagemontör, butik"
5087,7522,Monterbyggare
5088,2143,"Monteringsingenjör, elektronik"
5089,2143,"Monteringsingenjör, telekommunikation"
5090,7523,Monteringssnickare
5091,2343,"Montessorilärare, förskola"
5092,2341,"Montessorilärare, grundskola"
5093,8211,"Montör, fordon"
5094,8213,"Montör, gummiprodukter"
5095,7522,"Montör, inredning"
5096,7411,"Montör, installation el"
5097,7119,"Montör, klätterväggar"
5098,7311,"Montör, lås"
5099,7119,"Montör, markiser"
5100,8213,"Montör, metallprodukter"
5101,8211,"Montör, motorsågar"
5102,8219,"Montör, papprodukter"
5103,8211,"Montör, permobilar"
5104,8213,"Montör, plastprodukter"
5105,7412,"Montör, reparation elutrustning"
5106,7420,"Montör, reparation tele-elektronik"
5107,7125,"Montör, rör-"
5108,8211,"Montör, scooter (hopsättning, ej tillverkn.)"
5109,8219,"Montör, textilprodukter"
